Designator,Footprint,Quantity,Value,LCSC Part #
BR1,Diode_Bridge_Diotec_ABS,1,MB6S,C432636
C1,0603,1,10uF,C96446
C10,0603,1,10uF,C96446
C13,0603,1,1uF,C5673
C14,0603,1,100nF(0.1uF),C1591
C15,0603,1,22uF,C86295
C16,0603,1,1uF,C5673
C17,0603,1,22pF,C1653
C18,0603,1,22pF,C1653
C19,0603,1,1uF,C5673
C2,0603,1,10uF,C96446
"C3, C4",CP_Elec_10x10,2,470uF,C340751
C5,CP_Elec_6.3x7.7,1,47uF,C2164444
C6,CP_Elec_16x17.5,1,680uF,C401970
C9,0603,1,0.1uF,C14663
D1,D_SMA,1,SS34,C8678
D10,D_SMA,1,D_Zener,C2480
D11,0805,1,LED,C108412
"D2, D3, D5, D6",D_SOD-123,4,1N4148W,C81598
J3,PinSocket_1x05_P1.27mm_Vertical_SMD_Pin1Right,1,LD2410,C2881514
J8,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C2962219
J9,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
L1,IND_CDRH127_LDNP-470MC_SUM,1,470uH,C2453850
L3,1206,1,600ohm,C108305
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,2N7002,C8545
R11,0603,1,10k,C25804
R12,0603,1,10k,C25804
R13,0603,1,1k,C21190
R15,0603,1,10k,C25804
R16,0603,1,1K,C21190
R17,0603,1,5.1K,C415076
R18,0603,1,5.1K,C415076
R19,0603,1,10k,C25804
R2,0603,1,470,C23179
R20,0603,1,10k,C25804
R21,0603,1,10k,C25804
R3,0603,1,470,C23179
R4,0603,1,470,C23179
R5,0603,1,1K,C21190
R6,0603,1,470,C23179
R7,0603,1,220,C22962
R8,0603,1,470,C23179
R9,0603,1,470,C23179
SW1,SW_SPST_TL3305A,1,Boot,C2886902
SW2,SW_SPST_TL3305A,1,Reset,C2886902
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,SCL,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,SDA,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3v3,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,+5V,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
U1,TO-263-5_TabPin3,1,LM2596T-5,C41906
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,AHT20,1,AHT20, C2757850
U5,XCVR_ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-N16,C2913199
