Designator,Mid X,Mid Y,Rotation,Layer
BR1,117.44,-90.87,270.0,top
BZ1,146.12,-141.41,0.0,top
C1,159.0,-134.14,90.0,top
C10,144.0,-103.71,180.0,top
C11,159.11,-103.73,180.0,top
C12,120.5,-120.83,180.0,top
C13,130.27,-140.77,0.0,top
C14,200.22,-142.73,180.0,top
C15,200.24,-140.78,180.0,top
C2,174.265,-78.28,180.0,top
C3,174.265,-74.74,180.0,top
C4,174.265,-76.36,180.0,top
C5,171.9,-136.56,90.0,top
C6,168.12,-136.49,90.0,top
C7,209.78,-121.78,0.0,top
C8,133.39,-116.0,0.0,top
C9,126.9,-118.08,90.0,top
D1,186.42,-128.06,270.0,top
D10,145.12,-91.04,180.0,top
D11,154.87,-91.07,180.0,top
D12,164.59,-91.09,180.0,top
D2,194.54,-147.47,0.0,top
D3,170.0,-130.11,270.0,top
D4,131.94,-101.93,0.0,top
D5,169.34,-67.94,270.0,top
D6,167.12,-67.94,270.0,top
D7,164.91,-67.93,270.0,top
D8,125.78,-91.04,180.0,top
D9,135.51,-91.05,180.0,top
J1,169.97,-144.925,0.0,top
J2,130.04,-68.66,0.0,top
J3,158.94,-69.55,180.0,top
J4,208.31,-83.24,270.0,top
J5,189.96,-135.44,270.0,top
J6,179.99,-142.01,90.0,top
J7,201.505,-121.12,180.0,top
K1,128.015,-87.17,90.0,top
K2,137.7,-87.17,90.0,top
K3,147.4,-87.17,90.0,top
K4,157.11,-87.17,90.0,top
K5,166.79,-87.17,90.0,top
L1,191.22,-128.06,90.0,top
L2,151.71,-117.333,90.0,top
Q1,148.37,-130.0975,270.0,top
Q2,123.83,-94.6,90.0,top
Q3,133.51,-94.62,90.0,top
Q4,143.17,-94.6,90.0,top
Q5,152.92,-94.62,90.0,top
Q6,162.62,-94.64,90.0,top
R1,161.84,-134.13,90.0,top
R10,164.91,-72.52,270.0,top
R11,200.25,-144.74,180.0,top
R12,113.44,-137.01,270.0,top
R13,145.7,-129.6575,270.0,top
R14,117.5,-138.59,90.0,top
R15,151.06,-129.6975,270.0,top
R16,127.85,-94.24,270.0,top
R17,137.93,-94.26,270.0,top
R18,147.5,-94.27,270.0,top
R19,157.23,-94.26,270.0,top
R2,199.98,-138.47,0.0,top
R20,166.95,-94.25,270.0,top
R3,199.96,-135.2,0.0,top
R4,174.25,-79.91,180.0,top
R5,195.21,-128.15,270.0,top
R6,166.368,-136.475,90.0,top
R7,173.59,-136.555,90.0,top
R8,169.34,-72.42,270.0,top
R9,167.12,-72.5,270.0,top
SW1,160.528,-143.002,270.0,top
SW2,208.788,-127.508,270.0,top
U1,186.4125,-79.42,0.0,top
U2,119.775,-107.27,90.0,top
U3,132.23,-122.02,270.0,top
U4,208.75,-145.78,0.0,top
